sort,family_scientific,family_english,AM,AMR,E,EX,HIST,IO,MM,N,NR,NRR,OM,PM,PMR,RAR,RS,SO,VIO,VM,VN,VO,VP,VSO,VSA,red_list,status_birdlife,water_bird,strict_water_bird,ADU,common_name,scientific_name,avibaseid,wikiDataID,iNaturalisttaxonID,IUCNtaxonID,ObservationorgID,GBIFID,Clements--code,Clements--rank,Clements--scientific_name,Clements--common_name,H&M--sort,,,,,
50,Phoenicopteridae,Flamingos,,TRUE,,,,,,,,,,,TRUE,,,,,,,,,,,Least Concern,,TRUE,TRUE,86,Greater Flamingo,Phoenicopterus roseus,0F9B5174A8ACF737,Q179863,73222,22697360,1401,4352332,grefla3,species,Phoenicopterus roseus,Greater Flamingo,014-001-001-000,,,,,
51,Phoenicopteridae,Flamingos,,TRUE,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,TRUE,TRUE,87,Lesser Flamingo,Phoeniconaias minor,B06A9079584A8D53,Q242369,4259,22697369,73500,2481104,lesfla1,species,Phoeniconaias minor,Lesser Flamingo,014-001-002-001,,,,,
52,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,940,Feral Pigeon,Columba livia,BBA263C235B15B88,Q42326,3017,22690066,87959,2495414,rocpig,species,Columba livia,Rock Pigeon,016-001-001-001,,,,,
53,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,311,Speckled Pigeon,Columba guinea,A6EA9F02884DCAC3,Q855618,3036,22690080,72390,5231817,spepig1,species,Columba guinea,Speckled Pigeon,016-001-001-004,,,,,
54,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,312,African Olive Pigeon,Columba arquatrix,EEDB8253146102E4,Q512840,3012,22690145,72400,5231873,rampig1,species,Columba arquatrix,Rameron Pigeon,016-001-001-014,,,,,
55,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,313,Eastern Bronze-naped Pigeon,Columba delegorguei,870E4DDAFBC8A03E,Q1106412,3030,22690359,,5231865,delpig1,species,Columba delegorguei,Delegorgue's Pigeon,016-001-001-032,,,,,
56,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,322,Lemon Dove,Aplopelia larvata,EE40DDB6D12231E7,Q511845,144545,,72437,5231853,lemdov2,species,Columba larvata,Lemon Dove,016-001-002-001,,,,,
57,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,TRUE,,,Vulnerable,Rare/Accidental,,,1005,European Turtle Dove,Streptopelia turtur,5788552B694ED7B5,Q168514,2938,22690419,342,2495708,eutdov,species,Streptopelia turtur,European Turtle-Dove,016-001-003-001,,,,,
58,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1874,Dusky Turtle Dove,Streptopelia lugens,8770C6A77E1F4EC5,Q1030039,2989,22690432,72440,2495699,dutdov1,species,Streptopelia lugens,Dusky Turtle-Dove,016-001-003-002,,,,,
59,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Near Threatened,,,,1876,African White-winged Dove,Streptopelia reichenowi ,65FE8029C7E10A2B,Q997682,2975,22690529,,2495658,wwcdov1,species,Streptopelia reichenowi,White-winged Collared-Dove,016-001-003-008,,,,,
60,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,315,African Mourning Dove,Streptopelia decipiens,70BD722BFB32E346,Q113218,2951,22690477,72443,2495674,afmdov1,species,Streptopelia decipiens,Mourning Collared-Dove,016-001-003-009,,,,,
61,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,314,Red-eyed Dove,Streptopelia semitorquata,9888B3AE7B0B41EE,Q1072609,2988,22690499,72446,2495707,reedov1,species,Streptopelia semitorquata,Red-eyed Dove,016-001-003-010,,,,,
62,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,316,Ring-necked Dove,Streptopelia capicola,AB937AEB3B9F3DC1,Q1270179,2959,22690488,,2495667,rindov,species,Streptopelia capicola,Ring-necked Dove,016-001-003-011,,,,,
63,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,317,Laughing Dove,Spilopelia senegalensis,B2D6AB06AA0628A7,Q10821952,144550,,,2495659,laudov1,species,Streptopelia senegalensis,Laughing Dove,016-001-003-015,,,,,
64,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,1888,Bruce's Green Pigeon,Treron waalia,46C9094410A753DB,Q1188385,3340,22691212,,2495756,brgpig1,species,Treron waalia,Bruce's Green-Pigeon,016-003-012-013,,,,,
65,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,323,African Green Pigeon,Treron calvus,001465742A76224D,Q512566,3405,45433492,72578,2495783,afrgrp1,species,Treron calvus,African Green-Pigeon,016-003-012-015,,,,,
66,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,321,Emerald-spotted Wood-Dove,Turtur chalcospilos,BDF442F234BB5FE3,Q849991,3327,22690621,,5231793,eswdov1,species,Turtur chalcospilos,Emerald-spotted Wood-Dove,016-003-019-001,,,,,
67,Columbidae,Pigeons and Doves,,,,,,,,,,,,,,,,,,,,,,,,Least Concern,,,,320,Blue-spotted Wood-Dove,Turtur afer,23D5FC36BA0C0636,Q482088,3326,22690628,,5231792,bswdov1,species,Turtur afer,Blue-spotted Wood-Dove,016-003-019-003,,,,,
